"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:35:721 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"2","500","10","20","5000","100","5","1.3911355548366224","4.270462633451958","5028","833","500","10","10","2958","28"
"7","500","10","20","5000","100","6","1.149110807113543","3.9945280437756496","5044","1011","499","9.6","9.6","2790","44"
"9","500","10","20","5000","100","10","3.0575845082384916","7.559028367589605","5230","1676","499","29.599999999999998","31.6","4524","230"
"10","500","10","20","5000","100","11","4.228775113415424","9.008425145819832","5252","1802","495","33","35","5120","252"
"6","500","10","20","5000","100","7","1.5765219500363814","4.996361872422993","5071","1137","500","12.6","13.200000000000001","3541","71"
"4","500","10","20","5000","100","5","0.9271099744245525","3.3887468030690537","5014","841","500","7.3999999999999995","7.3999999999999995","2489","14"
"1","500","10","20","5000","100","7","2.200956937799043","5.741626794258373","5077","1168","499","17.4","18","2904","77"
"5","500","10","20","5000","100","8","1.995330078539588","6.007217151347909","5134","1367","500","16.400000000000002","17.4","3925","134"
"9","500","10","20","5000","100","11","4.047058823529412","8.95686274509804","5272","1842","497","37","39","5015","272"
"3","500","10","20","5000","100","11","6.781279847182425","13.658070678127984","5228","1837","493","50.8","54.400000000000006","5340","228"
"8","500","10","20","5000","100","7","1.9593956562795092","5.264400377714825","5103","1193","500","16.6","17.2","4353","103"
"2","500","10","20","5000","100","6","1.408839779005525","5.193370165745857","5070","1007","500","11.200000000000001","11.200000000000001","3323","70"
"7","500","10","20","5000","100","7","1.7319098457888493","5.195729537366548","5080","1164","499","14.6","14.6","3187","80"
"10","500","10","20","5000","100","12","5.40946656649136","10.398196844477836","5291","1973","492","41.199999999999996","44.2","5554","291"
"4","500","10","20","5000","100","6","1.046418030587604","4.346659511671586","5041","1003","500","9.2","9.2","3119","41"
"5","500","10","20","5000","100","9","2.9896512073591412","7.244154848600997","5174","1524","499","23.599999999999998","25","4365","174"
"6","500","10","20","5000","100","8","2.1632041122295993","6.104090811736989","5116","1339","500","17.4","18.4","3849","116"
"9","500","10","20","5000","100","12","5.170902716914987","10.721589249196612","5311","2000","496","44.2","47.199999999999996","5262","311"
"10","500","10","20","5000","100","13","6.602573165559169","11.81959564541213","5344","2130","488","47.4","51","6058","344"
"3","500","10","20","5000","100","12","8.379387602688574","14.936519790888722","5265","2004","488","58.4","62.6","5821","265"
"5","500","10","20","5000","100","10","3.846826368246197","8.49798915894387","5219","1658","498","30.599999999999998","32.4","4964","219"
"9","500","10","20","5000","100","13","6.452056679048013","12.147475581235383","5350","2171","491","51.800000000000004","55.00000000000001","5728","350"
"7","500","10","20","5000","100","8","2.3536895674300253","6.636980491942324","5124","1328","499","19.8","20.8","3809","124"
"10","500","10","20","5000","100","14","8.228525555258228","12.724110248862724","5378","2272","487","56.39999999999999","60.8","6511","378"
"2","500","10","20","5000","100","7","2.0100502512562812","6.030150753768844","5117","1175","500","16.2","16.6","3721","117"
"1","500","10","20","5000","100","8","2.8632478632478633","6.901709401709402","5112","1345","498","22.6","23.599999999999998","3151","112"
"6","500","10","20","5000","100","9","2.7178103315343103","7.343870470316115","5160","1498","500","22","24","4125","160"
"3","500","10","20","5000","100","13","10.52040959461355","16.201430775704868","5325","2161","488","68.60000000000001","73.8","6144","325"
"8","500","10","20","5000","100","8","2.661357921207041","6.894383906119028","5151","1361","500","23.200000000000003","23.799999999999997","5073","151"
"5","500","10","20","5000","100","11","4.861448711716091","9.93356020093988","5262","1817","495","37.6","40.400000000000006","5378","262"
"4","500","10","20","5000","100","7","1.483400047092065","5.20367318106899","5070","1175","500","13.4","14.000000000000002","3765","70"
"9","500","10","20","5000","100","14","8.185238033467376","13.555584381891295","5381","2346","481","59","62.4","6285","381"
"10","500","10","20","5000","100","15","10.062174850907244","13.691155944677073","5426","2427","485","66.2","70.19999999999999","6917","426"
"3","500","10","20","5000","100","14","13.258575197889183","17.401055408970976","5377","2329","482","75.8","81.8","6771","377"
"5","500","10","20","5000","100","12","6.376243593608683","11.486282785649683","5317","1977","494","47.8","51.2","5766","317"
"6","500","10","20","5000","100","10","3.8454753924854472","8.731698712294937","5202","1669","499","31.2","34.2","4581","202"
"7","500","10","20","5000","100","9","2.8851702250432774","8.040007693787267","5172","1479","498","23","24.4","4376","172"
"2","500","10","20","5000","100","8","2.9793573100659714","7.2781442860183025","5167","1344","498","23.599999999999998","24.6","4161","167"
"8","500","10","20","5000","100","9","3.4268499340990397","8.604782526831105","5199","1535","499","29.799999999999997","31.2","5558","199"
"1","500","10","20","5000","100","9","3.3812670034978627","8.492032646715895","5158","1504","498","27.400000000000002","29.599999999999998","3867","158"
"4","500","10","20","5000","100","8","2.1164021164021163","6.603174603174604","5109","1345","499","19.400000000000002","20.599999999999998","4201","109"
"9","500","10","20","5000","100","15","10.141712877387555","14.577942082563155","5407","2511","476","66.8","71.39999999999999","6652","407"
"10","500","10","20","5000","100","16","11.98696281989377","14.763399323998069","5481","2582","480","69.8","75.2","7043","481"
"3","500","10","20","5000","100","15","15.327455919395467","18.110831234256928","5427","2495","471","77.2","83.8","7413","427"
"5","500","10","20","5000","100","13","7.966101694915253","12.867231638418078","5362","2130","490","54.800000000000004","59.8","5979","362"
"9","500","10","20","5000","100","16","11.961270515999528","15.361908135553193","5439","2698","470","70.19999999999999","76.2","6896","439"
"7","500","10","20","5000","100","10","4.122990915443745","9.765897973445144","5216","1662","498","31.8","34.2","5180","216"
"10","500","10","20","5000","100","17","13.617367076851636","15.370327374042256","5534","2742","474","72.6","78.4","7448","534"
"4","500","10","20","5000","100","9","2.921646746347941","8.11990134699298","5160","1515","499","25.6","26.8","4421","160"
"2","500","10","20","5000","100","9","3.623048756985932","8.999807284640585","5219","1485","498","30.4","31.8","4858","219"
"8","500","10","20","5000","100","10","4.379435693266402","10.541803704344815","5267","1695","497","37.2","40","6015","267"
"6","500","10","20","5000","100","11","4.984575418087352","10.45624289657412","5251","1825","499","40.8","44.800000000000004","4845","251"
"5","500","10","20","5000","100","14","9.479753285063019","14.0520246714937","5402","2319","487","62","68.2","6577","402"
"3","500","10","20","5000","100","16","17.83868253395841","18.42769563649477","5463","2658","465","80","87","7512","463"
"9","500","10","20","5000","100","17","14.343799412694827","15.74429636322566","5475","2858","463","75.4","80.80000000000001","7068","475"
"1","500","10","20","5000","100","10","4.654467933913661","10.232723396695684","5196","1666","496","36.8","40","4133","196"
"10","500","10","20","5000","100","18","15.819964349376114","15.641711229946523","5567","2926","463","76.2","82","7903","567"
"5","500","10","20","5000","100","15","11.65418306461851","15.081883965976894","5441","2476","482","67.60000000000001","74.2","6783","441"
"9","500","10","20","5000","100","18","16.664858413800584","15.959639796029077","5519","3036","457","77.60000000000001","82.8","7348","519"
"3","500","10","20","5000","100","17","20.692025664527954","18.446379468377636","5495","2853","454","82","88","7779","495"
"6","500","10","20","5000","100","12","6.1829176114890405","12.01814058956916","5303","2008","497","47.599999999999994","52.2","5261","303"
"7","500","10","20","5000","100","11","5.482986615062087","11.25624899209805","5258","1807","497","40.8","44.2","5543","258"
"4","500","10","20","5000","100","10","3.714632876236765","9.477521263669502","5208","1677","499","32.4","34.4","4821","208"
