"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (10% density)"
"05/27/2025 01:10:17:180 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
,"6","1.3636363636363635","4.839572192513368","5021","1011","500","11.600000000000001","11.600000000000001","1306","21","6","0.9297238173366147","3.5821711785616626","5036","1013","500","8.200000000000001","8.200000000000001","1880","36","6","1.1474951021550517","3.6663867898124827","5024","1001","500","8.799999999999999","8.799999999999999","2236","24","6","1.1093073593073595","3.896103896103896","5016","986","500","9.4","9.4","1525","16","6","1.0023740437879187","3.745713532049591","5019","990","500","9.2","9.2","1034","19","6","1.008174386920981","3.569482288828338","5027","946","500","8","8","1857","27","6","0.9016624401239786","3.324880247957171","5029","986","499","8","8","1870","29","6","1.2107870115575123","3.7424325811777654","5017","992","500","9.6","9.6","1678","17","6","1.3802435723951285","5.060893098782138","5006","1000","500","11","11","834","6","6","1.1599676288103589","3.965470731049366","5026","1017","500","9.4","9.4","1368","26"
,"7","1.9456165025785277","5.8837318330989214","5034","1177","500","16.8","17.2","1438","34","7","1.2386850881372082","4.311576941400666","5065","1182","500","11","11.200000000000001","1944","65","7","1.538837322911578","4.616511968734733","5050","1133","500","12.2","12.2","2288","50","7","1.6579819990525817","4.334438654666035","5038","1150","500","13.600000000000001","14.6","1598","38","7","1.6632490316700843","4.944178628389154","5028","1155","500","14.399999999999999","14.799999999999999","1205","28","7","1.507537688442211","4.498683895668821","5042","1125","500","12.2","12.6","2046","42","7","1.2045231071779743","4.277286135693215","5052","1144","499","10.2","10.8","2208","52","7","1.5602496399423909","4.824771963514162","5036","1144","500","12.8","13","2014","36","7","1.9792648444863337","6.102733270499529","5013","1157","499","16.8","17","1198","13","7","1.7764092846991948","4.594978683088584","5043","1190","500","13.4","14.399999999999999","1547","43"
,"8","2.545378677237638","7.218860838723137","5053","1328","500","21.4","22.6","1629","53","8","2.0434227330779056","5.214985100042571","5077","1355","500","16.8","17.4","2057","77","8","2.2643950830278197","5.693336208755661","5074","1279","498","17","17.4","2604","74","8","2.079831932773109","5.651260504201681","5073","1315","498","17","18.8","1686","73","8","2.078239608801956","6.193969030154849","5038","1340","500","19","20","1205","38","8","1.947502116850127","6.1600338696020325","5074","1297","500","16.400000000000002","17.2","2300","74","8","1.8010103228640457","4.919833077092027","5075","1295","499","15.2","16.6","2439","75","8","2.068671358498614","6.078055022392834","5056","1331","500","16.8","18.2","2389","56","8","2.95483326298016","7.408189109328831","5031","1338","499","23.400000000000002","24.4","1240","31","8","2.473572938689218","5.644820295983086","5048","1389","500","19","20.200000000000003","1678","48"
,"9","3.409304953851949","9.022414767376153","5068","1493","499","28.599999999999998","30.4","1945","68","9","2.6553781027515875","6.580719645949586","5097","1540","500","21.8","22.8","2351","97","9","2.7437244600116752","6.888499708114419","5105","1433","496","20.4","21.6","2722","105","9","2.6750142287990895","7.285145133750712","5094","1498","497","22.8","24.8","2047","94","9","2.5","7.2592592592592595","5054","1511","500","22.2","23.599999999999998","1557","54","9","2.591668266461893","7.352658859665963","5101","1481","500","23","24.6","2665","101","9","2.568662319699664","5.9672001580715275","5100","1450","498","21.6","23.200000000000003","2815","100","9","2.672347017815647","7.126258714175059","5082","1506","498","21.8","23.599999999999998","2455","82","9","3.6158408264779034","8.934379185000957","5046","1536","499","29.4","30.8","1240","46","9","2.936096718480138","6.524659374400307","5059","1531","499","24","25.6","2017","59"
,"10","4.483058210251955","10.477845351867941","5091","1625","498","35.6","39.2","2122","91","10","3.3081119127221537","7.724793243005455","5120","1695","500","26.400000000000002","28.599999999999998","2441","120","10","3.61145703611457","8.041273794698451","5142","1607","495","28.199999999999996","29.799999999999997","2828","142","10","3.3966207977704235","8.639609824072462","5117","1664","497","27.800000000000004","30.599999999999998","2047","117","10","3.684922244759973","8.434753211629479","5069","1682","500","32","33.6","1655","69","10","3.4287734181689644","8.907741251325557","5134","1654","500","30.599999999999998","33.2","2924","134","10","3.3255437713463962","7.442027682904907","5125","1627","496","27","29.2","3034","125","10","3.597377281587808","8.34662413609782","5103","1670","498","27.6","30.4","2486","103","10","4.786026200873363","10.602620087336243","5061","1706","497","36.8","38.800000000000004","1336","61","10","3.8949594642227705","7.8604159323228755","5077","1709","499","32.6","34.4","2115","77"
,"11","5.813204508856683","12.19001610305958","5109","1809","496","43.4","47.8","2435","109","11","4.363458081385847","8.972054257231573","5145","1858","499","34","37.2","2497","145","11","4.811336299225573","9.606195419344209","5176","1782","495","38","40.6","3104","176","11","4.554965395139225","10.300981812328988","5143","1822","497","36.8","39.800000000000004","2200","143","11","4.7678992918961445","9.89771833202203","5090","1826","499","40.6","42.8","1923","90","11","4.750284691719537","10.509191475516513","5158","1800","500","41.199999999999996","44.6","3154","158","11","4.16181122024305","8.756450807391376","5149","1791","495","34.8","37","3237","149","11","4.894418071697496","9.821574725814372","5140","1845","498","37.4","41.6","2664","140","11","6.271324126726238","12.13647441104793","5079","1862","495","45.6","47.8","1610","79","11","5.158341495266079","9.59843290891283","5099","1890","496","42","44.2","2225","99"
,"12","7.687705653604547","13.73018247083458","5129","1953","493","54.800000000000004","59.199999999999996","2809","129","12","5.74468085106383","10.425531914893616","5164","2006","499","44.2","47.4","2643","164","12","5.978844090142572","11.206500076651848","5199","1952","491","45.6","48.8","3405","199","12","6.120612061206121","11.776177617761777","5152","1995","497","48.6","52.2","2263","152","12","5.913503971756398","11.518093556928509","5098","1992","499","49","51.800000000000004","2115","98","12","6.0200668896321075","11.994527211918516","5173","1978","499","49.4","52.800000000000004","3348","173","12","5.310419569592816","10.063477318470351","5171","1975","493","44","46.800000000000004","3378","171","12","6.122761365375784","11.327108525945201","5181","2005","498","45","50.4","2664","181","12","7.761239368165248","13.88213851761847","5093","2025","494","56.00000000000001","58.199999999999996","1663","93","12","6.001832620647526","11.48442272449603","5121","2059","491","46.2","50.4","2527","121"
,"13","9.348962011015393","15.266205338229064","5155","2118","488","62.2","67.60000000000001","2940","155","13","7.064364207221351","11.773940345368917","5184","2173","497","54.2","58.199999999999996","2828","184","13","7.157316367842684","12.463851937536148","5223","2126","488","52","56.599999999999994","3524","223","13","7.601184600197433","13.354956987730926","5169","2164","494","56.2","61","2531","169","13","7.584968223266096","12.87648521691075","5117","2169","495","57.4","62.6","2211","117","13","7.500358525742149","13.65266026100674","5189","2158","496","58.199999999999996","63","3415","189","13","6.915589132645648","11.375853552230133","5202","2162","487","52.2","56.2","3560","202","13","7.410611303344868","12.615340253748558","5207","2159","494","52.400000000000006","58.8","2865","207","13","9.713307659392385","15.432891171016974","5099","2193","487","61.4","64.8","1736","99","13","7.625053748029238","12.842195786154509","5144","2216","491","54","60","2732","144"
,"14","11.387995712754554","16.345123258306536","5175","2274","484","70","77.2","3096","175","14","8.75981586785811","12.618467370701328","5192","2354","492","59.599999999999994","65.2","3028","192","14","9.138309549945117","13.487925356750823","5239","2306","484","60.199999999999996","66.8","3608","239","14","9.488272921108742","14.445628997867804","5183","2338","487","62.4","69.19999999999999","2809","183","14","9.264126149802891","13.876478318002627","5130","2338","491","63.4","69.6","2355","130","14","9.606809890555331","14.741251182272666","5211","2327","492","66.60000000000001","72.6","3528","211","14","8.232044198895029","12.624309392265193","5234","2317","483","57.199999999999996","64","3730","234","14","9.425224734404795","13.647507491146825","5220","2330","492","61.4","69.19999999999999","3123","220","14","11.865095489638358","16.22646620614926","5108","2372","482","70.19999999999999","74.6","1922","108","14","9.457617879531208","13.654946852003272","5162","2376","489","62.6","69.8","2905","162"
,"15","13.756681089335709","17.21812165945533","5197","2445","478","76.4","83","3169","197","15","10.65996390822377","13.650425367362724","5201","2513","489","65.4","72.6","3265","201","15","11.045751633986928","14.366013071895425","5255","2475","478","66","73.4","3773","255","15","11.536511156186613","15.365111561866126","5204","2520","485","69.6","76.8","2987","204","15","11.232292841920522","14.692240190547826","5145","2482","488","68.8","75.8","2445","145","15","11.310987446615762","15.607609680341659","5238","2497","483","69.19999999999999","77","3528","238","15","9.872485868279217","13.750492967004075","5261","2490","479","64.2","72","4087","261","15","11.366588724343986","14.640166276955052","5239","2502","490","68.4","77.4","3403","239","15","14.195380049038587","16.75054845786553","5121","2539","475","74","79.80000000000001","2007","121","15","11.42003377939457","14.460179290632713","5176","2557","484","69.39999999999999","75.8","3257","176"
