BehaviorSpace results (NetLogo 6.4.0),Stats version 2.0,,,,,,,,,,,,,,,,,,,,,,
FinalProject.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Effect of Water Density on Dengue Spread (10% density),,,,,,,,,,,,,,,,,,,,,,,
05/27/2025 01:10:17:249 +0800,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,35,0,35,,,,,,,,,,,,,,,,,,,,
init-total-humans,init-n-turtles-infected,water-density,init-total-mosquitoes,max-ticks,[step],(mean) mosquito infect humans,(std) mosquito infect humans,(mean) humans infect mosquito,(std) humans infect mosquito,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
500,10,10,5000,100,36,33.4320179,1.419496822,14.42792269,0.374639825,5415.8,53.87355567,5022.1,7.854298186,347.1,13.14115672,43.04,2.727343029,69.34,2.607757657,4734.1,652.824854,415.8,53.87355567
500,10,10,5000,100,37,33.69096311,1.419964001,14.37652956,0.371566348,5418.7,54.44639566,5040.1,13.45696846,343.8,14.19013742,39.32,2.656614387,68.68,2.815954545,4751.7,657.523087,418.7,54.44639566
500,10,10,5000,100,38,33.95851435,1.410215117,14.32555761,0.376294392,5421.9,56.26091005,5059.9,16.15208965,340.5,14.80033783,35.6,2.456013029,68.02,2.938639141,4775.7,643.5024553,421.9,56.26091005
500,10,10,5000,100,39,34.20078764,1.406098712,14.28014062,0.374239881,5424.4,56.77710806,5080.6,20.90071769,337.8,14.99866661,32.02,2.566632034,67.48,2.973482806,4808.4,658.0278414,424.4,56.77710806
500,10,10,5000,100,40,34.41611226,1.395293429,14.23610005,0.377125587,5426.2,55.63955428,5103.9,26.80093282,335.7,15.55667059,28.9,2.405410568,67.08,3.085708995,4820.2,668.9959342,426.2,55.63955428
500,10,10,5000,100,41,34.63620041,1.405432267,14.19452512,0.372193988,5427.7,55.71005295,5128.8,30.56730279,333.9,15.37172729,26,2.053290043,66.72,3.046571844,4839.5,677.1433009,427.7,55.71005295
500,10,10,5000,100,42,34.82428213,1.389482718,14.15727174,0.373069236,5429.5,55.25803109,5148.1,34.25040146,332.7,16.11862277,23.82,2.195358741,66.48,3.197749208,4872.6,698.9709865,429.5,55.25803109
500,10,10,5000,100,43,34.98216954,1.38898569,14.12407646,0.372854771,5431.9,54.71096782,5168.9,38.07742113,331.3,15.91257364,21.74,2.441393045,66.2,3.159746825,4893.2,710.5919786,431.9,54.71096782
500,10,10,5000,100,44,35.14649363,1.392272825,14.09037687,0.369826597,5433.4,54.64650035,5185.4,41.05167475,330.1,15.77624797,20.52,2.722058045,65.96,3.13279428,4902.1,720.9738483,433.4,54.64650035
500,10,10,5000,100,45,35.28456729,1.380558639,14.06346194,0.366389923,5435.1,54.32761729,5203.7,44.09319675,328.8,15.59358843,19.16,2.299217258,65.7,3.101290054,4912.1,720.6561524,435.1,54.32761729
500,10,10,5000,100,46,35.4115851,1.391159824,14.03552396,0.360283541,5436.9,54.71096782,5222,46.02825219,327.4,15.83161394,18.06,2.416691954,65.44,3.146807906,4926.1,732.9131531,436.9,54.71096782
500,10,10,5000,100,47,35.53578853,1.383604569,14.00920203,0.360974155,5439.4,55.13293027,5238.2,48.83809988,326.2,16.38780034,16.86,2.444667667,65.2,3.258220373,4935.1,732.9516287,439.4,55.13293027
500,10,10,5000,100,48,35.66216523,1.364678465,13.98294324,0.361903448,5440.4,55.55393775,5253.6,47.73300745,325.3,16.46238136,15.9,2.227554713,65.02,3.273469108,4949.2,727.62144,440.4,55.55393775
500,10,10,5000,100,49,35.7456854,1.362021734,13.96726078,0.358782551,5441.4,56.40070922,5268.8,48.98326245,324.7,16.48059465,14.76,1.940721515,64.9,3.275667871,4958.9,728.2347767,441.4,56.40070922
500,10,10,5000,100,50,35.83145751,1.355334434,13.9495457,0.359362941,5442.9,57.04638464,5283.7,51.5617106,323.9,16.62197341,14.1,2.160092591,64.74,3.303392196,4967.5,712.8837563,442.9,57.04638464
500,10,10,5000,100,51,35.90994055,1.346561762,13.93355395,0.365618833,5443.9,57.23364395,5297.4,50.57904705,323.5,16.70478973,13.52,2.178439809,64.66,3.321505683,4978,703.8677433,443.9,57.23364395
500,10,10,5000,100,52,35.98083416,1.336669122,13.91771718,0.367276624,5445.4,57.2,5311.9,51.09686879,322.8,16.74395413,12.46,2.299652148,64.52,3.32770191,4989.7,709.0127009,445.4,57.2
500,10,10,5000,100,53,36.05211779,1.335297559,13.90042938,0.363755943,5446.4,57.77231171,5326.1,50.16064194,322.4,16.28619047,11.52,2.200363606,64.44,3.23456334,4993.4,709.6227448,446.4,57.77231171
500,10,10,5000,100,54,36.112635,1.330615274,13.8880554,0.36528783,5447.6,57.44771536,5337.5,50.98872424,321.9,16.39786571,10.6,2.137288001,64.34,3.259509166,4993.4,709.6227448,447.6,57.44771536
500,10,10,5000,100,55,36.15215262,1.321674425,13.87812441,0.36661361,5448.3,56.89121198,5347.3,53.62844395,321,16.90562037,9.48,2.034109142,64.16,3.36071421,5002.4,712.434025,448.3,56.89121198
500,10,10,5000,100,56,36.19632837,1.322912736,13.86579445,0.366246721,5449.2,56.83449657,5357.8,55.15759241,320.6,16.97763234,8.72,1.984338681,64.08,3.375440712,5002.4,712.434025,449.2,56.83449657
500,10,10,5000,100,57,36.22988066,1.315285871,13.85539776,0.367211582,5450,56.43403229,5367.6,54.89845171,320.1,17.34618114,7.88,1.824719156,63.98,3.450739051,5002.4,712.434025,450,56.43403229
500,10,10,5000,100,58,36.25205174,1.31331625,13.85024991,0.368670451,5450.5,56.17873263,5376.6,54.97672235,319.8,17.01058494,7.02,1.831829686,63.92,3.383725757,5009.6,715.4091417,450.5,56.17873263
500,10,10,5000,100,59,36.28261475,1.320227909,13.84072936,0.366340541,5451.3,56.12316812,5384.1,52.83076755,319.4,17.32166274,6.26,1.835320136,63.84,3.445344685,5020.2,706.4748828,451.3,56.12316812
500,10,10,5000,100,60,36.30582653,1.31762912,13.83322533,0.367234811,5451.7,56.29751327,5390.7,50.93731442,319.3,17.4416169,5.92,2.020297008,63.82,3.469236227,5020.2,706.4748828,451.7,56.29751327
500,10,10,5000,100,61,36.31908533,1.320760105,13.82677322,0.36450728,5451.9,56.23424224,5397,50.96665577,319.2,17.35396208,5.52,2.146997904,63.8,3.451376537,5027.8,712.4096855,451.9,56.23424224
500,10,10,5000,100,62,36.33040536,1.322837706,13.82185676,0.363176187,5452.1,56.24135489,5402.7,50.73864405,319,17.39540169,5.04,2.144388025,63.76,3.460404601,5034.7,723.2070312,452.1,56.24135489
